COMPONENT,COMPONENT_cleaned
Legionella micdadei DNA,legionella micdadei dna
Escherichia coli Stx1 Toxin stx1-Gen,escherichia coli stx toxin stx gen
Haemophilus influenzae,haemophilus influenzae
Bakterielle Vancomycin-Resistenz vanA & vanB & vanC1 & vanC2-Gene,bakterielle vancomycin resistenz vana vanb vanc vanc gene
Furazolidon,furazolidon
Beta-Lactamase.Breitspektrum,beta lactamase breitspektrum
Salmonella typhi DNA,salmonella typhi dna
Hantavirus Typ Hantaan Ak.IgM,hantavirus typ hantaan ak igm
Tedizolid,tedizolid
Beta-Lactamase.normal,beta lactamase
Hantavirus Typ Dobrova Ak.IgG,hantavirus typ dobrova ak igg
Hantavirus Typ Saaremaa Ak.IgM,hantavirus typ saaremaa ak igm
Hantavirus Typ Hantaan Ak.IgG,hantavirus typ hantaan ak igg
Hantavirus Typ Dobrova Ak.IgM,hantavirus typ dobrova ak igm
Hantavirus Typ Saaremaa Ak.IgG,hantavirus typ saaremaa ak igg
Rotavirus,rotavirus
Saint-Louis-Enzephalitis-Virus Ag,saint louis enzephalitis virus ag
Shigella species+EIEC-invasion plasmid antigen H (ipaH)-Gen,shigella species eiec invasion plasmid antigen ipah gen
Brucella sp Ak.IgG & IgM,brucella sp ak igg igm
Rabies-Virus-Stamm,rabies virus stamm
Corynebacterium diphtheriae DNA,corynebacterium diphtheriae dna
Marburg-Virus Ag,marburg virus ag
Rotavirus dsRNA,rotavirus dsrna
Ebola-Virus Ak.IgM,ebola virus ak igm
Rift-Valley-Fieber-Virus Ak.IgM,rift valley fieber virus ak igm
Mycobacterium tuberculosis gyrA-Gen Fluorchinolon-Resistenz-Mutation,mycobacterium tuberculosis gyra gen fluorchinolon resistenz mutation
Brucella sp Ak.IgG^1. Probenmaterial,brucella sp ak igg probenmaterial
Ebola-Virus Ak.IgG,ebola virus ak igg
Marburg-Virus Ak.IgG,marburg virus ak igg
Marburg-Virus Ak.IgM,marburg virus ak igm
Rift-Valley-Fieber-Virus Ak.IgG,rift valley fieber virus ak igg
Gelbfieber-Virus Ak.neutralisierend,gelbfieber virus ak neutralisierend
Bakterielle Vancomycin-Resistenz vanB-Gen,bakterielle vancomycin resistenz vanb gen
Influenza-Virus A Neuraminidase Segment Sequenz Identifikator,influenza virus neuraminidase segment sequenz identifikator
Hantavirus Typ Seoul Ak.IgG,hantavirus typ seoul ak igg
Neisseria meningitidis Serogruppe,neisseria meningitidis serogruppe
Mycobacterium tuberculosis ethA-Gen Ethionamid-Resistenz-Mutation,mycobacterium tuberculosis etha gen ethionamid resistenz mutation
Mycobacterium leprae folP1-Gen Dapson-Resistenz-Mutation,mycobacterium leprae folp gen dapson resistenz mutation
Iclaprim,iclaprim
Mycobacterium leprae rpoB-Gen Rifampicin-Resistenz-Mutation,mycobacterium leprae rpob gen rifampicin resistenz mutation
Bakterielle Vancomycin-Resistenz vanC2+vanC3-Gene,bakterielle vancomycin resistenz vanc vanc gene
Bakterielle Vancomycin-Resistenz vanC1-Gen,bakterielle vancomycin resistenz vanc gen
Staphylococcus aureus Methicillin-Resistenz SCCmec,staphylococcus aureus methicillin resistenz sccmec
Omadacyclin,omadacyclin
Ceftazidim+Avibactam,ceftazidim avibactam
Ceftarolin+Avibactam,ceftarolin avibactam
Solithromycin,solithromycin
Nitazoxanid,nitazoxanid
Besifloxacin,besifloxacin
Ceftarolin,ceftarolin
Hepatitis-C-Virus NS5-Gen Mutationen entdeckt,hepatitis virus ns gen mutationen entdeckt
Yersinia enterocolitica Serotyp,yersinia enterocolitica serotyp
Mycobacterium leprae gyrB-Gen Fluorchinolon-Resistenz-Mutation,mycobacterium leprae gyrb gen fluorchinolon resistenz mutation
Mycobacterium tuberculosis ethB-Gen Ethionamid-Resistenz-Mutation,mycobacterium tuberculosis ethb gen ethionamid resistenz mutation
Mycobacterium tuberculosis rpsL+rrs-Gene Aminoglycosid-Resistenz-Mutation,mycobacterium tuberculosis rpsl rrs gene aminoglycosid resistenz mutation
Rifaximin,rifaximin
Plazomicin,plazomicin
Fidaxomicin,fidaxomicin
Faropenem,faropenem
Telavancin,telavancin
Ceftolozan+Tazobactam,ceftolozan tazobactam
Plesiomonas shigelloides DNA,plesiomonas shigelloides dna
Escherichia coli & Klebsiella pneumoniae & Pseudomonas aeruginosa rRNA,escherichia coli klebsiella pneumoniae pseudomonas aeruginosa rrna
Bakterielle Carbapenem-Resistenz blaNDM-Gen,bakterielle carbapenem resistenz blandm gen
Arbovirus,arbovirus
Middle East respiratory syndrome coronavirus (MERS CoV) RNA,middle east respiratory syndrome coronavirus mers cov rna
Neisseria meningitidis Serogruppe X DNA,neisseria meningitidis serogruppe dna
Campylobacter sp DNA.durchfallerregend,campylobacter sp dna durchfallerregend
Festlegung des Aufbaus eines Fragebogens,festlegung aufbaus fragebogens
Middle East respiratory syndrome Coronavirus (MERS CoV) N3-Gen RNA,middle east respiratory syndrome coronavirus mers cov gen rna
Influenza-Virus B Victoria-Abstammungslinie RNA,influenza virus victoria abstammungslinie rna
Hepatitis-E-Virus Genotypen 1+2+3+4 RNA,hepatitis virus genotypen rna
Ebola-Zaire-Virus RNA,ebola zaire virus rna
Risikobeurteilung und Screening - Notiz,risikobeurteilung screening notiz
Influenza-Virus B Yamagata-Abstammungslinie RNA,influenza virus yamagata abstammungslinie rna
Dengue-Virus NS1 Ag,dengue virus ns ag
Hepatitis-A-Virus-RNA+Parvovirus B19 DNA,hepatitis virus rna parvovirus dna
"Moxifloxacin 1,0 µg/ml",moxifloxacin ml
Intravaskulär diastolisch,intravaskulaer diastolisch
Intravaskulär systolisch,intravaskulaer systolisch
Influenza-Virus A Matrixprotein Segment Sequenz Identifikator,influenza virus matrixprotein segment sequenz identifikator
Influenza-Virus A Hämagglutinin Segment Sequenz Identifikator,influenza virus haemagglutinin segment sequenz identifikator
Serratia marcescens gyrB-Gen,serratia marcescens gyrb gen
Klebsiella pneumoniae phoE-Gen,klebsiella pneumoniae phoe gen
Mycobacterium tuberculosis gyrB-Gen Fluorchinolon-Resistenz-Mutation,mycobacterium tuberculosis gyrb gen fluorchinolon resistenz mutation
Mycobacterium leprae gyrA-Gen Fluorchinolon-Resistenz-Mutation,mycobacterium leprae gyra gen fluorchinolon resistenz mutation
Varicella-Zoster-Virus ORF36 Genotyp,varicella zoster virus orf genotyp
Yersinia Adhäsionsprotein YadA,yersinia adhaesionsprotein yada
Salmonella sp Phagentyp,salmonella sp phagentyp
Streptococcus pneumoniae Serotyp,streptococcus pneumoniae serotyp
Neisseria meningitidis Serosubtyp,neisseria meningitidis serosubtyp
Arbovirus Ak.IgM,arbovirus ak igm
Bakterielle Methicillin-Resistenz mecA-mRNA,bakterielle methicillin resistenz meca mrna
Mycobacterium-abscessus-Komplex Clarithromycin-Resistenz erm(41)-Gen,mycobacterium abscessus komplex clarithromycin resistenz erm gen
Mycobacterium-abscessus-Komplex Clarithromycin-Resistenz erm(41)-Gen in voller Länge,mycobacterium abscessus komplex clarithromycin resistenz erm gen voller laenge
Mycobacterium-abscessus-Komplex Clarithromycin-Resistenz verkürztes erm(41)-Gen,mycobacterium abscessus komplex clarithromycin resistenz verkuerztes erm gen
Enterobacteriaceae.Carbapenem-resistent,enterobacteriaceae carbapenem resistent
Mitteilung zum Fall - Kommentar,mitteilung fall kommentar
Fall ist assoziiert mit einem bekannten Krankheitsausbruch,fall assoziiert bekannten krankheitsausbruch
Toskana-Virus Ak.IgM,toskana virus ak igm
Staphylococcus aureus.Vancomycin-Resistenz,staphylococcus aureus vancomycin resistenz
Toskana-Virus Ak.IgG,toskana virus ak igg
Middle East respiratory syndrome Coronavirus (MERS CoV) upE-Gen RNA,middle east respiratory syndrome coronavirus mers cov upe gen rna
Neisseria meningitidis serogroup B DNA,neisseria meningitidis serogroup dna
Influenza-Virus B Abstammungslinie RNA,influenza virus abstammungslinie rna
Campylobacter coli+jejuni+lari fusA-Gen,campylobacter coli jejuni lari fusa gen
Yersinia enterocolitica recN-Gen,yersinia enterocolitica recn gen
Salmonella sp rpoD-Gen,salmonella sp rpod gen
Norovirus Genotypgruppe I+II orf1-orf2 junction-Region,norovirus genotypgruppe ii orf orf junction region
Rotavirus A nsp5-Gen,rotavirus nsp gen
Mumps-Virus RNA,mumps virus rna
Bakterielle Vancomycin-Resistenz vanD-Gen,bakterielle vancomycin resistenz vand gen
Cefteram,cefteram
Haemophilus influenzae lex2-Gen,haemophilus influenzae lex gen
Escherichia coli enteroaggregativ pAA-Plasmid aggR+aatA-Gene,escherichia coli enteroaggregativ paa plasmid aggr aata gene
Japanische-Enzephalitis-Virus + Frühsommer-Meningoenzephalitis-Virus + West-Nil-Virus + Gelbfieber-Virus Ak.IgG,japanische enzephalitis virus fruehsommer meningoenzephalitis virus west nil virus gelbfieber virus ak igg
Japanische-Enzephalitis-Virus + Frühsommer-Meningoenzephalitis-Virus + West-Nil-Virus + Gelbfieber-Virus Ak.IgM,japanische enzephalitis virus fruehsommer meningoenzephalitis virus west nil virus gelbfieber virus ak igm
Escherichia coli enteropathogen eae-Gen,escherichia coli enteropathogen eae gen
Rickettsia prowazekii RNA,rickettsia prowazekii rna
Pflegegrad,pflegegrad
Escherichia coli enterotoxigen ltA+st1a+st1b-Gene,escherichia coli enterotoxigen lta st st gene
Eindeutiger Identifikator,eindeutiger identifikator
Clostridium baratii Toxin F bont-Gen,clostridium baratii toxin bont gen
Gelbfieber-Virus RNA,gelbfieber virus rna
Bordetella pertussis.Pertussis-Toxin-Promoterregion,bordetella pertussis pertussis toxin promoterregion
Zika-Virus Ak.neutralisierend^2. Probenmaterial,zika virus ak neutralisierend probenmaterial
Escherichia coli enterotoxigen eltA+estB-Gene,escherichia coli enterotoxigen elta estb gene
Vibrio cholerae Toxin ctxA-Gen,vibrio cholerae toxin ctxa gen
Rotavirus A VP6-Gen,rotavirus vp gen
Escherichia coli O157 rfbE-Gen,escherichia coli rfbe gen
Influenza-Virus A M-Gen,influenza virus gen
Salmonella sp invA+fliC-Gene,salmonella sp inva flic gene
Escherichia coli Stx1+Stx2-Toxine stx1+stx2-Gene,escherichia coli stx stx toxine stx stx gene
Giardia lamblia 18S rRNA,giardia lamblia rrna
Zika-Virus envelope (E)-Gen,zika virus envelope gen
"West-Nil-Virus, Kunjin-Stamm Ak.IgM",west nil virus kunjin stamm ak igm
Staphylococcus aureus Methicillin-Resistenz SCCmec+orfX junction,staphylococcus aureus methicillin resistenz sccmec orfx junction
Gelbfieber-Virus ns5-Gen,gelbfieber virus ns gen
Leptospira weilii Serovar Topaz Ak,leptospira weilii serovar topaz ak
Murray-Valley-Enzephalitis-Virus Ak.IgG,murray valley enzephalitis virus ak igg
Murray-Valley-Enzephalitis-Virus Ak.IgM,murray valley enzephalitis virus ak igm
Chikungunya-Virus Nichtstrukturprotein 1 (nsP1) RNA,chikungunya virus nichtstrukturprotein nsp rna
Barmah-Forest-Virus Ak,barmah forest virus ak
Influenza-Virus A H7 Eurasien RNA,influenza virus eurasien rna
Clostridium botulinum Toxin D botD-Gen,clostridium botulinum toxin botd gen
Murray-Valley-Enzephalitis-Virus RNA,murray valley enzephalitis virus rna
Clostridium botulinum Toxin C botC-Gen,clostridium botulinum toxin botc gen
Clostridium botulinum Toxin E botE-Gen,clostridium botulinum toxin bote gen
Clostridium botulinum Toxin F botF-Gen,clostridium botulinum toxin botf gen
Clostridium botulinum Toxin G botG-Gen,clostridium botulinum toxin botg gen
"West-Nil-Virus, Kunjin-Stamm RNA",west nil virus kunjin stamm rna
Campylobacter coli+jejuni tuf-Gen,campylobacter coli jejuni tuf gen
Yersinia enterocolitica,yersinia enterocolitica
Salmonella enterica+bongori DNA,salmonella enterica bongori dna
Giardia lamblia DNA,giardia lamblia dna
Varicella-Zoster-Virus-Stamm,varicella zoster virus stamm
Reisestartdatum,reisestartdatum
Chikungunya-Virus Strukturproteine (E1+E2) Ak.IgG,chikungunya virus strukturproteine ak igg
Hepatitis-C-Virus Genotyp 1 NS5b-Gen Mutationen entdeckt,hepatitis virus genotyp ns gen mutationen entdeckt
Status der Reise,status reise
Zika-Virus Nichtstrukturprotein 1 Ak.IgG,zika virus nichtstrukturprotein ak igg
Mycobacterium-tuberculosis-Komplex immunogenes Protein MPB64,mycobacterium tuberculosis komplex immunogenes protein mpb
Chikungunya-Virus Strukturproteine (E1+E2) Ak.IgM,chikungunya virus strukturproteine ak igm
Lefamulin,lefamulin
Intravaskulärer Mittelwert,intravaskulaerer mittelwert
Blutdruck (Liste) optional mit allen Unterbegriffen,blutdruck liste optional unterbegriffen
Mycobacterium-tuberculosis-Komplex DNA,mycobacterium tuberculosis komplex dna
Imipenem+Relebactam,imipenem relebactam
Meropenem+Vaborbactam,meropenem vaborbactam
Bakterielle Carbapenem-Resistenz blaVIM-Gen,bakterielle carbapenem resistenz blavim gen
Influenza-Virus D PB2-Gen,influenza virus pb gen
Haemophilus influenzae bex-Gen,haemophilus influenzae bex gen
Haemophilus influenzae ccs-Gen,haemophilus influenzae ccs gen
Venezolanische-Pferdeenzephalomyelitis-Virus Ak.IgG,venezolanische pferdeenzephalomyelitis virus ak igg
Influenza-Virus A H1 HA-Gen,influenza virus ha gen
Bakterielle Carbapenem-Resistenz blaIMP-Gen,bakterielle carbapenem resistenz blaimp gen
Influenza-Virus A Gesamtgenom,influenza virus gesamtgenom
Streptococcus pneumoniae Dänischer Serotyp 2 DNA,streptococcus pneumoniae daenischer serotyp dna
Haemophilus influenzae bcs-Gen,haemophilus influenzae bcs gen
Röteln-Virus Genotyp,roeteln virus genotyp
Streptococcus pneumoniae Dänische Serotypen 7A+7F DNA,streptococcus pneumoniae daenische serotypen dna
Influenza-Virus A RNA Zellkulturinfektionsdosis 50,influenza virus rna zellkulturinfektionsdosis
Zika-Virus RNA,zika virus rna
Haemophilus influenzae hpd-Gen,haemophilus influenzae hpd gen
Influenza-Virus A NP-Gen,influenza virus np gen
Leptospira borgpetersenii Serovar Arborea Ak,leptospira borgpetersenii serovar arborea ak
Dengue-Virus 1+2+3+4 5' UTR RNA,dengue virus utr rna
Enterobacteriaceae DNA,enterobacteriaceae dna
Mumps-Virus SH-Gen,mumps virus sh gen
Mumps-Virus Genotyp,mumps virus genotyp
Bakterielle Carbapenem-Resistenz blaOXA-58-ähnliches Gen,bakterielle carbapenem resistenz blaoxa aehnliches gen
Masern-Virus N-Gen,masern virus gen
Bakterielle Beta-Lactam-Resistenz ESBL blaCTX-M-1-Gruppe-Gen,bakterielle beta lactam resistenz esbl blactx gruppe gen
Salmonella sp spaO-Gen,salmonella sp spao gen
Legionella longbeachae 1 & 2 DNA,legionella longbeachae dna
Influenza-Virus B Yamagata-Abstammungslinie Ag,influenza virus yamagata abstammungslinie ag
Bakterielle Carbapenem-Resistenz blaGIM-Gen,bakterielle carbapenem resistenz blagim gen
Bakterielle Beta-Lactam-Resistenz AmpC blaACT+blaMIR-Gene,bakterielle beta lactam resistenz ampc blaact blamir gene
Bakterielle Beta-Lactam-Resistenz AmpC blaFOX-Gen,bakterielle beta lactam resistenz ampc blafox gen
Bakterielle Beta-Lactam-Resistenz ESBL blaBEL-Gen,bakterielle beta lactam resistenz esbl blabel gen
Bakterielle Beta-Lactam-Resistenz ESBL blaCTX-M-8+blaCTX-M-25-Gruppen-Gene,bakterielle beta lactam resistenz esbl blactx blactx gruppen gene
Bakterielle Beta-Lactam-Resistenz ESBL blaPER-Gen,bakterielle beta lactam resistenz esbl blaper gen
Neisseria meningitidis Serogruppe B synD-Gen,neisseria meningitidis serogruppe synd gen
Neisseria meningitidis Serogruppe w135 synG-Gen,neisseria meningitidis serogruppe syng gen
Varicella-Zoster-Virus-Stamm DNA,varicella zoster virus stamm dna
Bakterielle Beta-Lactam-Resistenz ESBL blaSHV-Gen,bakterielle beta lactam resistenz esbl blashv gen
Bakterielle Beta-Lactam-Resistenz ESBL blaTEM-Gen,bakterielle beta lactam resistenz esbl blatem gen
Bakterielle Beta-Lactam-Resistenz AmpC blaACC-Gen,bakterielle beta lactam resistenz ampc blaacc gen
Neisseria meningitidis Serogruppe Y synF-Gen,neisseria meningitidis serogruppe synf gen
Rotavirus A VP6-Kapsidprotein,rotavirus vp kapsidprotein
Bakterielle Colistin-Resistenz mcr-1-Gen,bakterielle colistin resistenz mcr gen
Varicella-Zoster-Virus-Klade,varicella zoster virus klade
Hantavirus RNA,hantavirus rna
Europäische-Frühsommer-Meningoenzephalitis-Virus RNA,europaeische fruehsommer meningoenzephalitis virus rna
Leptospira sp identifiziert,leptospira sp identifiziert
Leptospira borgpetersenii Serovar Hardjo-bovis DNA,leptospira borgpetersenii serovar hardjo bovis dna
Yersinia enterocolitica DNA,yersinia enterocolitica dna
Plesiomonas shigelloides,plesiomonas shigelloides
Escherichia coli enterotoxigenes hitzelabiles Toxin DNA,escherichia coli enterotoxigenes hitzelabiles toxin dna
Escherichia coli enterotoxigenic sta-Gen,escherichia coli enterotoxigenic sta gen
Escherichia coli enterotoxigenic stb-Gen,escherichia coli enterotoxigenic stb gen
Carbapenemase,carbapenemase
Zika-Virus Ak.IgA+IgG+IgM,zika virus ak iga igg igm
Sulfathiazol,sulfathiazol
Körpergröße,koerpergroesse
Krim-Kongo-Hämorrhagisches-Fieber-Virus Ak.IgM,krim kongo haemorrhagisches fieber virus ak igm
Körpertemperatur,koerpertemperatur
Influenza-Virus A NA-Gen,influenza virus na gen
Borrelia sp,borrelia sp
Krim-Kongo-Hämorrhagisches-Fieber-Virus RNA,krim kongo haemorrhagisches fieber virus rna
Sulfadimethoxin,sulfadimethoxin
Neisseria meningitidis sodC-Gen,neisseria meningitidis sodc gen
Haemophilus influenzae acs-Gen,haemophilus influenzae acs gen
Haemophilus influenzae ecs-Gen,haemophilus influenzae ecs gen
Citrobacter sp ompA+mrkC-Gene,citrobacter sp ompa mrkc gene
Haemophilus influenzae dcs-Gen,haemophilus influenzae dcs gen
Röteln-Virus E1-Gen,roeteln virus gen
Klebsiella oxytoca ompA-Gen,klebsiella oxytoca ompa gen
Krim-Kongo-Hämorrhagisches-Fieber-Virus Ak.IgG,krim kongo haemorrhagisches fieber virus ak igg
Hantavirus Typ Puumala RNA,hantavirus typ puumala rna
Acinetobacter sp rpsA-Gen,acinetobacter sp rpsa gen
Proteus sp atpD-Gen,proteus sp atpd gen
Klebsiella pneumoniae yggE-Gen,klebsiella pneumoniae ygge gen
California-Enzephalitis-Virus Ak.IgG+IgM,california enzephalitis virus ak igg igm
Carbapenem,carbapenem
Bedaquilin,bedaquilin
Bakterielles 23S rRNA-Gen Azithromycin-Resistenzmutation,bakterielles rrna gen azithromycin resistenzmutation
Influenza-Virus B Victoria-Abstammungslinie Ag,influenza virus victoria abstammungslinie ag
Bakterielle Beta-Lactam-Resistenz AmpC blaCMY+blaMOX-Gene,bakterielle beta lactam resistenz ampc blacmy blamox gene
Bakterielle Carbapenem-Resistenz blaGES-Gen,bakterielle carbapenem resistenz blages gen
Bakterielle Carbapenem-Resistenz blaSPM-Gen,bakterielle carbapenem resistenz blaspm gen
Bakterielle Beta-Lactam-Resistenz ESBL blaGES-Gen,bakterielle beta lactam resistenz esbl blages gen
Bakterielle Beta-Lactam-Resistenz ESBL blaVEB-Gen,bakterielle beta lactam resistenz esbl blaveb gen
Neisseria meningitidis Serogruppe A sacB-Gen,neisseria meningitidis serogruppe sacb gen
Neisseria meningitidis Serogruppe C synE-Gen,neisseria meningitidis serogruppe syne gen
Neisseria meningitidis Serogruppe X xcbB-Gen,neisseria meningitidis serogruppe xcbb gen
Zika-Virus Nichtstrukturprotein 1 Ak.IgM,zika virus nichtstrukturprotein ak igm
Zika-Virus Ak.IgG,zika virus ak igg
"Cefpodoxim 4,0 µg/ml",cefpodoxim ml
Coxiella burnetii aroE-Gen,coxiella burnetii aroe gen
Übersicht der Schwangerschaft,uebersicht schwangerschaft
Varicella-Zoster-Virus Ag,varicella zoster virus ag
Acinetobacter sp,acinetobacter sp
Datum der Abreise vom Reiseziel,datum abreise reiseziel
Masern-Virus,masern virus
"Ceftazidim 1,0 µg/ml",ceftazidim ml
Bakterielle Methicillin-Resistenz mecA+mecC-Gene,bakterielle methicillin resistenz meca mecc gene
Bakterielle Methicillin-Resistenz mecC-Gen,bakterielle methicillin resistenz mecc gen
Mycobacterium leprae DNA,mycobacterium leprae dna
Mikroorganismus Resistenzmutation getestet auf,mikroorganismus resistenzmutation getestet
Score^5 Minuten nach Geburt,score minuten geburt
Mikroorganismus Resistenzmutation Nukleinsäureveränderung,mikroorganismus resistenzmutation nukleinsaeureveraenderung
Cryptosporidium parvum+hominis DNA,cryptosporidium parvum hominis dna
Mikroorganismus Resistenzmutation Nukleinsäureveränderungstyp,mikroorganismus resistenzmutation nukleinsaeureveraenderungstyp
Mikroorganismus Resistenzmutation entdeckt,mikroorganismus resistenzmutation entdeckt
Mikroorganismus Resistenzmutation Aminosäurenveränderung,mikroorganismus resistenzmutation aminosaeurenveraenderung
Escherichia coli enteroaggregativ astA-Gen,escherichia coli enteroaggregativ asta gen
Trichinella spiralis DNA,trichinella spiralis dna
Mikroorganismus Resistenzmutation Aminosäurenveränderungstyp,mikroorganismus resistenzmutation aminosaeurenveraenderungstyp
Corynebacterium sp DNA,corynebacterium sp dna
Mycobacterium-tuberculosis-Komplex-Spezies,mycobacterium tuberculosis komplex spezies
Bakterielle Carbapenem-Resistance blaOXA-23-ähnliches+blaOXA-48-ähnliches Gen,bakterielle carbapenem resistance blaoxa aehnliches blaoxa aehnliches gen
Bakterielle Cephalosporin-Resistenz blaCTX-M-Gen,bakterielle cephalosporin resistenz blactx gen
Enterobacter sp gyrB+metB-Gene,enterobacter sp gyrb metb gene
Legionella sp DNA,legionella sp dna
"Linezolid 1,0 µg/ml",linezolid ml
Corynebacterium sp,corynebacterium sp
Bakterielle Beta-Lactam-Resistenz AmpC blaCMY-2-Gen,bakterielle beta lactam resistenz ampc blacmy gen
Influenza-Virus A PA-Gen,influenza virus pa gen
Enterobacter aerogenes+Enterobacter amnigenus+Enterobacter gergoviae DNA,enterobacter aerogenes enterobacter amnigenus enterobacter gergoviae dna
Bakterielle Beta-Lactam-Resistenz AmpC blaDHA-Gen,bakterielle beta lactam resistenz ampc bladha gen
Bakterielles katG-Gen Arzneimittel-Resistenzmutation,bakterielles katg gen arzneimittel resistenzmutation
Enterobacteriaceae,enterobacteriaceae
Bakterielles inhA-Gen Arzneimittel-Resistenzmutation,bakterielles inha gen arzneimittel resistenzmutation
Bakterielles embB-Gen Arzneimittel-Resistenzmutation,bakterielles embb gen arzneimittel resistenzmutation
Bakterielles pncA-Gen Arzneimittel-Resistenzmutation,bakterielles pnca gen arzneimittel resistenzmutation
Bakterielles rrs-Gen Arzneimittel-Resistenzmutation,bakterielles rrs gen arzneimittel resistenzmutation
Bakterielles gyrA-Gen Arzneimittel-Resistenzmutation,bakterielles gyra gen arzneimittel resistenzmutation
Bakterielles fabG1-Gen Arzneimittel-Resistenzmutation,bakterielles fabg gen arzneimittel resistenzmutation
Bakterielles eis-Gen Arzneimittel-Resistenzmutation,bakterielles eis gen arzneimittel resistenzmutation
Heartland banyangvirus RNA,heartland banyangvirus rna
SARS-bezogenes Coronavirus N-Gen,sars bezogenes coronavirus gen
Doravirin,doravirin
Serratia sp DNA,serratia sp dna
Cronobacter sakazakii DNA,cronobacter sakazakii dna
Francisella tularensis Ak.IgG & IgM,francisella tularensis ak igg igm
Mumps-Virus N-Gen,mumps virus gen
Pretomanid,pretomanid
Bakterielles ahpC-Gen Arzneimittel-Resistenzmutation,bakterielles ahpc gen arzneimittel resistenzmutation
Bakterielles gidB-Gen Arzneimittel-Resistenzmutation,bakterielles gidb gen arzneimittel resistenzmutation
Bakterielles rpsL-Gen Arzneimittel-Resistenzmutation,bakterielles rpsl gen arzneimittel resistenzmutation
Bakterielles rpoB-Gen Arzneimittel-Resistenzmutation,bakterielles rpob gen arzneimittel resistenzmutation
Hantavirus Typ Seoul Ak.IgM,hantavirus typ seoul ak igm
SARS-Coronavirus 2 RNA (Liste),sars coronavirus rna liste
Bunyamwera virus Ak.IgG,bunyamwera virus ak igg
SARS-Coronavirus 2 Ak (Liste),sars coronavirus ak liste
SARS-bezogenes Coronavirus+MERS Coronavirus RNA,sars bezogenes coronavirus mers coronavirus rna
West-Nil-Virus Ak.IgM/Positivkontrolle,west nil virus ak igm positivkontrolle
Reiseland,reiseland
SARS-bezogenes Coronavirus RNA,sars bezogenes coronavirus rna
Stadt der Reise,stadt reise
Konvaleszentenplasma gegeben,konvaleszentenplasma gegeben
Datum der ersten Entnahme von positivem Probenmaterial,datum ersten entnahme positivem probenmaterial
Bakterielle Carbapenem-Resistenz blaIMP+blaVIM-Gene,bakterielle carbapenem resistenz blaimp blavim gene
Japanische-Enzephalitis-Virus Ak.IgG,japanische enzephalitis virus ak igg
Mayaro-Virus Ak.IgG,mayaro virus ak igg
Adenovirus RNA,adenovirus rna
Sindbis-Virus Ak.IgG,sindbis virus ak igg
Sindbis-Virus Ak.IgM,sindbis virus ak igm
Mycobacterium tuberculosis-Lipoarabinomannan Ag,mycobacterium tuberculosis lipoarabinomannan ag
SARS-Coronavirus 2 Ak.neutralisierend,sars coronavirus ak neutralisierend
Aufgenommen auf die Intensivstation wegen eines bestimmten Zustands,aufgenommen intensivstation wegen bestimmten zustands
Ross-River-Virus Ak.neutralisierend,ross river virus ak neutralisierend
Mayaro-Virus Ak.neutralisierend,mayaro virus ak neutralisierend
Mayaro-Virus Ak.IgM,mayaro virus ak igm
Cefiderocol,cefiderocol
Cache-Valley-Virus Ak.IgM,cache valley virus ak igm
SARS-Coronavirus 2 & SARS-bezogenes Coronavirus RNA (Liste),sars coronavirus sars bezogenes coronavirus rna liste
Sandfliegen-Fieber-Virus Sizilien Ak.IgG,sandfliegen fieber virus sizilien ak igg
Onyong-nyong-Virus Ak.IgG,onyong nyong virus ak igg
Semliki-Forest-Virus Ak.IgG,semliki forest virus ak igg
Ilheus-Virus Ak.IgG,ilheus virus ak igg
Cache-Valley-Virus Ak.IgG,cache valley virus ak igg
Onyong-nyong-Virus Ak.IgM,onyong nyong virus ak igm
Heartland banyangvirus Ak.IgM,heartland banyangvirus ak igm
Bunyamwera virus Ak.IgM,bunyamwera virus ak igm
Enterobacterales DNA,enterobacterales dna
Bakterielle Methicillin-Resistenz mecA+mecC-Gene+SCCmec+OrfX junction,bakterielle methicillin resistenz meca mecc gene sccmec orfx junction
SARS-Coronavirus 2 S-Gen Mutation entdeckt,sars coronavirus gen mutation entdeckt
Oropouche-Virus Ak.IgG,oropouche virus ak igg
Bwamba-Virus Ak.IgG,bwamba virus ak igg
Ilheus-Virus Ak.IgM,ilheus virus ak igm
Rocio-Virus Ak.IgM,rocio virus ak igm
Semliki-Forest-Virus Ak.IgM,semliki forest virus ak igm
Sandfliegen-Fieber-Virus Neapel Ak.IgM,sandfliegen fieber virus neapel ak igm
SARS-Coronavirus 2 S-Gen Mutation,sars coronavirus gen mutation
SARS-Coronavirus 2 E-Gen,sars coronavirus gen
SARS-Coronavirus 2 ORF1ab-Region,sars coronavirus orf ab region
Zu transfundierendes Konvaleszentenplasma,transfundierendes konvaleszentenplasma
SARS-Coronavirus 2 S-Gen Codon N501=,sars coronavirus gen codon
SARS-Coronavirus 2 Sequenzierung und Identifikation (Liste),sars coronavirus sequenzierung identifikation liste
Varicella-Zoster-Virus Ak.IgM-Index,varicella zoster virus ak igm index
Varicella-Zoster-Virus Ak.IgG Index,varicella zoster virus ak igg index
Influenza-Virus A & Influenza-Virus B & SARS coronavirus 2 Antigene (Liste),influenza virus influenza virus sars coronavirus antigene liste
SARS-Coronavirus 2 Ak,sars coronavirus ak
SARS-CoV-2 (COVID-19) ORF1b-Region,sars cov covid orf region
