icd_title,clean_synonym,only_nouns,non_nouns,adjectives
TRICHOMONIASIS NOS,trichomoniasis,,trichomoniasis,
TRICHOMONIASIS NOS,trichomoniasis nicht naeher bezeichnet,,trichomoniasis nicht naeher bezeichnet,
TRICHOMONIASIS NOS,trichomoniasis nicht spezifiziert,,trichomoniasis nicht spezifiziert,
POIS-ELECTRO/CAL/WAT AGT,vergiftung durch elektrolytische kalorische und den wasserhaushalt ausgleichende mittel,vergiftung wasserhaushalt mittel,durch elektrolytische kalorische und den ausgleichende,elektrolytische kalorische
POIS-ELECTRO/CAL/WAT AGT,vergiftung auf den elektrolyt kalorien und wasserhaushalt wirkende mittel,vergiftung elektrolyt kalorien wasserhaushalt mittel,auf den und wirkende,
Mediastinitis,entzündung des mediastinums,entzündung mediastinums,des,
Mediastinitis,mediastinale entzündung,entzündung,mediastinale,mediastinale
Mediastinitis,mediastinitis,mediastinitis,,
GROSS HEMATURIA,makroskopische haematurie,haematurie,makroskopische,makroskopische
GROSS HEMATURIA,mit blossem auge erkennbare haematurie,auge haematurie,mit blossem erkennbare,blossem
Other specified cardiac arrhythmias,arrhythmie nodulaer,arrhythmie nodulaer,,
Other specified cardiac arrhythmias,brugada syndrom,brugada syndrom,,
Other specified cardiac arrhythmias,dysfunktion des sinuatrialen knotens,dysfunktion knotens,des sinuatrialen,
Other specified cardiac arrhythmias,dysfunktion des sinusknotens,dysfunktion sinusknotens,des,
Other specified cardiac arrhythmias,nodale arrhythmie,arrhythmie,nodale,nodale
Other specified cardiac arrhythmias,nodale arrhythmie nnb,arrhythmie,nodale nnb,nodale
Other specified cardiac arrhythmias,sinusknoten dysfunktion,dysfunktion,sinusknoten,
Other specified cardiac arrhythmias,sinusknotendysfunktion,sinusknotendysfunktion,,
Other specified cardiac arrhythmias,sinusknotenerkrankung,sinusknotenerkrankung,,
Other specified cardiac arrhythmias,sonstige naeher bezeichnete kardiale arrhythmien,naeher arrhythmien,sonstige bezeichnete kardiale,sonstige kardiale
Other specified cardiac arrhythmias,sonstige spezifische herzrhythmusstoerungen,herzrhythmusstoerungen,sonstige spezifische,sonstige spezifische
2ND DEG BURN MULT SITE,blasen mit hautverlust durch verbrennung zweiten grades mehrerer spezifischer stellen,blasen hautverlust verbrennung grades stellen,mit durch zweiten mehrerer spezifischer,zweiten spezifischer
"Chlamydial infection, unspecified",chlamydia psittaci infektion,chlamydia infektion,psittaci,
"Chlamydial infection, unspecified",chlamydien infektionen,chlamydien,infektionen,
"Chlamydial infection, unspecified",chlamydieninfektion,chlamydieninfektion,,
"Chlamydial infection, unspecified",chlamydieninfektion nnb,chlamydieninfektion,nnb,
"Chlamydial infection, unspecified",chlamydieninfektion nicht naeher bezeichnet,chlamydieninfektion,nicht naeher bezeichnet,
"Chlamydial infection, unspecified",chlamydieninfektionen,,chlamydieninfektionen,
"Chlamydial infection, unspecified",infektionen durch chlamydia psittaci,infektionen chlamydia,durch psittaci,
"Chlamydial infection, unspecified",infektionserkrankungen durch chlamydia,infektionserkrankungen chlamydia,durch,
"Chlamydial infection, unspecified",miyagawanellainfektionen,miyagawanellainfektionen,,
"Atopic dermatitis, unspecified",allergische dermatitis,dermatitis,allergische,allergische
"Atopic dermatitis, unspecified",allergisches ekzem,,allergisches ekzem,allergisches ekzem
"Atopic dermatitis, unspecified",atopische dermatitis,dermatitis,atopische,atopische
"Atopic dermatitis, unspecified",atopisches endogenes ekzem,,atopisches endogenes ekzem,atopisches endogenes ekzem
"Atopic dermatitis, unspecified",atopisches endogenes ekzem nicht naeher bezeichnet,ekzem,atopisches endogenes nicht naeher bezeichnet,atopisches
"Atopic dermatitis, unspecified",atopisches ekzem,,atopisches ekzem,atopisches ekzem
"Atopic dermatitis, unspecified",dermatitis allergisch,dermatitis allergisch,,
"Atopic dermatitis, unspecified",dermatitis atopisch,dermatitis,atopisch,
"Atopic dermatitis, unspecified",dermatitis atopische,dermatitis,atopische,atopische
"Atopic dermatitis, unspecified",ekzem allergisch,,ekzem allergisch,ekzem
"Atopic dermatitis, unspecified",ekzem atopisch,,ekzem atopisch,ekzem
"Atopic dermatitis, unspecified",ekzem atopisches,,ekzem atopisches,ekzem atopisches
"Atopic dermatitis, unspecified",konstitutionelles ekzem,,konstitutionelles ekzem,konstitutionelles ekzem
"Atopic dermatitis, unspecified",neurodermatitis atopische,,neurodermatitis atopische,atopische
"Atopic dermatitis, unspecified",neurodermatitis disseminierte,,neurodermatitis disseminierte,
Ischemia and infarction of kidney,ischaemie und infarkt der niere,ischaemie,und infarkt der niere,niere
Ischemia and infarction of kidney,nierenarterienembolie,,nierenarterienembolie,
Ischemia and infarction of kidney,nierenarterienthrombose,nierenarterienthrombose,,
Ischemia and infarction of kidney,nierenarterienverschluss,nierenarterienverschluss,,
Ischemia and infarction of kidney,nierenarterienverschluß,nierenarterienverschluß,,
Ischemia and infarction of kidney,niereninfarkt,,niereninfarkt,
1ST DEG BURN WRIST,erythem verursacht durch verbrennung ersten grades des handgelenks,verbrennung grades handgelenks,erythem verursacht durch ersten des,erythem
UNILAT FEMORAL HERNIA,unilaterale oder unspezifische femoralhernie ohne erwaehnung einer obstruktion oder gangraen,femoralhernie erwaehnung obstruktion gangraen,unilaterale oder unspezifische ohne einer oder,unilaterale unspezifische
OTORRHEA NEC,sonstige otorrhoe,otorrhoe,sonstige,sonstige
EMPHYSEMA NEC,sonstiges emphysem,,sonstiges emphysem,sonstiges
Ulcerative (chronic) rectosigmoiditis without complications,ulzerative chronische proktosigmoiditis,proktosigmoiditis,ulzerative chronische,ulzerative chronische
Ulcerative (chronic) rectosigmoiditis without complications,ulzeroese chronische rektosigmoiditis,rektosigmoiditis,ulzeroese chronische,ulzeroese chronische
Full incontinence of feces,anale inkontinenz,inkontinenz,anale,anale
Full incontinence of feces,darminkontinenz,darminkontinenz,,
Full incontinence of feces,incontinentia alvi,incontinentia alvi,,
Full incontinence of feces,inkontinent stuhl,,inkontinent stuhl,
Full incontinence of feces,inkontinenz stuhl,inkontinenz,stuhl,
Full incontinence of feces,inkontinenz von stuhl,inkontinenz stuhl,von,
Full incontinence of feces,stuhl inkontinenz,inkontinenz,stuhl,
Full incontinence of feces,stuhlinkontinenz,stuhlinkontinenz,,
Rupture of popliteal cyst,ruptur einer poplitealzyste,ruptur,einer poplitealzyste,poplitealzyste
Other specified pleural conditions,hydropneumothorax,hydropneumothorax,,
Other specified pleural conditions,hydrothorax,hydrothorax,,
Other specified pleural conditions,pneumothorax hydro,pneumothorax hydro,,
Other specified pleural conditions,sonstige naeher bezeichnete krankheitszustaende der pleura,naeher krankheitszustaende pleura,sonstige bezeichnete der,sonstige
MALIG NEO BLADDER NEC,boesartige neubildung sonstiger spezifischer stellen der blase,neubildung stellen blase,boesartige sonstiger spezifischer der,boesartige
"Superficial mycosis, unspecified",oberflaechliche mykose nicht naeher bezeichnet,mykose,oberflaechliche nicht naeher bezeichnet,oberflaechliche
Hypovolemic shock,hypovolaemischer schock,schock,hypovolaemischer,
Hypovolemic shock,hypovolämischer schock,schock,hypovolämischer,
Hypovolemic shock,volumenmangelschock,volumenmangelschock,,
BLISTER FOOT & TOE-INFEC,blase an fuss und zehen infiziert,blase fuss zehen,an und infiziert,
Postnasal drip,retronasaler ausfluss,retronasaler ausfluss,,
OPEN SUBDUR HEM W/O COMA,subdurale blutung nach verletzung mit offener interkranieller wunde ohne verlust des bewusstseins,blutung verletzung wunde verlust bewusstseins,subdurale nach mit offener interkranieller ohne des,offener
SACROILIITIS NEC,sakroiliitis anderenorts nicht klassifiziert,sakroiliitis,anderenorts nicht klassifiziert,
DRUG-INDUCED DELIRIUM,arzneimittel oder drogeninduziertes delirium,arzneimittel delirium,oder drogeninduziertes,drogeninduziertes
BENIGN NEOPLASM OF OVARY,gutartige neubildung des eierstocks,neubildung eierstocks,gutartige des,
BENIGN NEOPLASM OF OVARY,gutartige neubildung des ovars,neubildung ovars,gutartige des,
BENIGN NEOPLASM OF OVARY,gutartiger ovarialtumor,ovarialtumor,gutartiger,
BENIGN NEOPLASM OF OVARY,neubildungen der ovarien gutartig,ovarien,neubildungen der gutartig,
BENIGN NEOPLASM OF OVARY,ovarialtumor gutartig,ovarialtumor,gutartig,
ABSCESS OF LIVER,abszess der leber,leber,abszess der,
ABSCESS OF LIVER,abszeß leber,abszeß,leber,
ABSCESS OF LIVER,leberabszess,,leberabszess,
ABSCESS OF LIVER,leberabszeß,leberabszeß,,
SEC MAL NEO PERITONEUM,sekundaere boesartige neubildung des retroperitoneums und des peritoneums,neubildung retroperitoneums peritoneums,sekundaere boesartige des und des,sekundaere
SEC MAL NEO PERITONEUM,sekundaere boesartige neubildung von retroperitoneum und peritoneum,neubildung retroperitoneum peritoneum,sekundaere boesartige von und,sekundaere
SECOND MALIG NEO GENITAL,sekundaere boesartige neubildung der geschlechtsorgane,neubildung geschlechtsorgane,sekundaere boesartige der,sekundaere
HYPEREM W METAB-ANTEPART,hyperemesis gravidarum mit stoffwechselstoerung antepartal,hyperemesis stoffwechselstoerung,gravidarum mit antepartal,
DERMATOPHYTOSIS OF GROIN,dermatophytose der leiste und des perianalen bereichs,dermatophytose bereichs,der leiste und des perianalen,leiste
OPEN WOUND FOOT-COMPL,offene wunde des fusses ausgenommen zehen allein mit komplikation,wunde fusses komplikation,offene des ausgenommen zehen allein mit,
CEREBEL CONTUS-DEEP COMA,zerebellaer oder hirnstammprellng ohne erw einer off intkran wunde mit prol lok ohne rueck zu vbbg,hirnstammprellng off wunde prol rueck,zerebellaer oder ohne erw einer intkran mit lok ohne zu vbbg,zerebellaer
OPN WND KNEE/LEG W TENDN,offene wunde von knie bein ausser oberschenkel und knoechel mit sehnenbeteiligung,wunde knie bein oberschenkel knoechel sehnenbeteiligung,offene von ausser und mit,offene ausser
Gross hematuria,makroskopische haematurie,haematurie,makroskopische,makroskopische
Gross hematuria,mit blossem auge erkennbare haematurie,auge haematurie,mit blossem erkennbare,blossem
COMPL KIDNEY TRANSPLANT,komplikation eines nierentransplantats,komplikation nierentransplantats,eines,
ATTN DEFIC NONHYPERACT,adhd vorwiegend unaufmerksamer typ,adhd typ,vorwiegend unaufmerksamer,
ATTN DEFIC NONHYPERACT,aufmerksamkeitsdefizitstoerung des kindesalters ohne erwaehnung von hyperaktivitaet,aufmerksamkeitsdefizitstoerung kindesalters erwaehnung hyperaktivitaet,des ohne von,
OTHER SPECIFIED PERVASIVE DEVELOPMENTAL DISORDERS; CURRENT OR ACTIVE STATE,sonstige spezifische fruehkindliche psychosen gegenwaertiger oder aktiver status,psychosen gegenwaertiger status,sonstige spezifische fruehkindliche oder aktiver,sonstige spezifische fruehkindliche aktiver
ABN URINE FINDINGS NEC,sonstige nicht spezifische befunde bei der urinuntersuchung,befunde urinuntersuchung,sonstige nicht spezifische bei der,sonstige
Pelvic varices,beckenvarizen,,beckenvarizen,
Pelvic varices,varizen des beckens,varizen beckens,des,
ANEMIA NEC,sonstige naeher bezeichnete anaemien,bezeichnete,sonstige naeher anaemien,sonstige
ANEMIA NEC,sonstige spezifische anaemien,spezifische,sonstige anaemien,
ILL-DEFINED EYE DIS NEC,sonstige unzureichend definierte erkrankungen des auges,erkrankungen auges,sonstige unzureichend definierte des,sonstige
GENERALIZED PAIN ,generalisierter schmerz,schmerz,generalisierter,
GENERALIZED PAIN ,koerperschmerzen allgemein,,koerperschmerzen allgemein,
GENERALIZED PAIN ,schmerz general,schmerz,general,
Iron deficiency,eisenmangel,eisenmangel,,
Iron deficiency,eisenmangelzustaende,,eisenmangelzustaende,eisenmangelzustaende
Iron deficiency,sideropenie,sideropenie,,
TMJ DISORDER,erkrankung des kiefergelenks,erkrankung kiefergelenks,des,
TMJ DISORDER,erkrankung des kiefergelenks nnb,erkrankung kiefergelenks nnb,des,
TMJ DISORDER,erkrankungen des temporomandibulargelenks,erkrankungen temporomandibulargelenks,des,
TMJ DISORDER,erkrankungen des temporomandibulargelenks unspezifisch,erkrankungen temporomandibulargelenks,des unspezifisch,
TMJ DISORDER,krankheiten des kiefergelenkes,kiefergelenkes,krankheiten des,
TMJ DISORDER,temporomandibuläres gelenkstörungen,temporomandibuläres,gelenkstörungen,
TMJ DISORDER,tmj störungen,,tmj störungen,
DELAY P/PART HEM-POSTPAR,postpartale blutung sekundaer,blutung,postpartale sekundaer,postpartale
DELAY P/PART HEM-POSTPAR,spaetblutung und spaete nachgeburtsblutung,spaetblutung nachgeburtsblutung,und spaete,
DELAY P/PART HEM-POSTPAR,verzoegerte und sekundaere postpartale blutung,blutung,verzoegerte und sekundaere postpartale,sekundaere
DELAY P/PART HEM-POSTPAR,verzoegerte und sekundaere postpartale blutung ohne angabe der behandlungsepisode,blutung angabe behandlungsepisode,verzoegerte und sekundaere postpartale ohne der,sekundaere
DELAY P/PART HEM-POSTPAR,verzoegerte und sekundaere postpartale blutung postpartal,blutung,verzoegerte und sekundaere postpartale postpartal,sekundaere postpartale
GU INFECTION-POSTPARTUM,infektionen der geschlechtsorgane und harnwege postpartal,infektionen geschlechtsorgane,der und harnwege postpartal,
"Intervertebral disc disorders with myelopathy, lumbar region",bandscheibenerkrankung mit myelopathie lendenwirbelbereich,bandscheibenerkrankung myelopathie,mit lendenwirbelbereich,
Flu due to unidentified flu virus w unsp type of pneumonia,influenza mit pneumonie,influenza pneumonie,mit,
Flu due to unidentified flu virus w unsp type of pneumonia,pneumonie grippal,pneumonie grippal,,
RENAL/PERIRENAL ABSCESS,nieren und perinephritischer abszess,abszess,nieren und perinephritischer,
RENAL/PERIRENAL ABSCESS,nierenabszess und perinephritischer abszess,abszess,nierenabszess und perinephritischer,perinephritischer
"OTHER FORMS OF MIGRAINE, WITHOUT MENTION OF INTRACTABLE MIGRAINE WITHOUT MENTION OF STATUS MIGRAINOSUS",sonstige formen der migraene ohne erwaehnung unbehandelbarer migraene,formen migraene erwaehnung,sonstige der ohne unbehandelbarer migraene,unbehandelbarer
ANTISOCIAL PERSONALITY,abnorme persönlichkeit,persönlichkeit,abnorme,
ANTISOCIAL PERSONALITY,antisoziale persoenlichkeit,persoenlichkeit,antisoziale,antisoziale
ANTISOCIAL PERSONALITY,antisoziale persoenlichkeitsstoerung,persoenlichkeitsstoerung,antisoziale,antisoziale
ANTISOCIAL PERSONALITY,antisoziale persönlichkeitsstörung,persönlichkeitsstörung,antisoziale,antisoziale
ANTISOCIAL PERSONALITY,asoziale persoenlichkeit,persoenlichkeit,asoziale,asoziale
ANTISOCIAL PERSONALITY,dissoziale persoenlichkeitsstoerung,persoenlichkeitsstoerung,dissoziale,dissoziale
ANTISOCIAL PERSONALITY,persönlichkeitsstörung antisoziale,persönlichkeitsstörung,antisoziale,antisoziale
ANTISOCIAL PERSONALITY,psychopath,psychopath,,
ANTISOCIAL PERSONALITY,psychopathische persoenlichkeit,persoenlichkeit,psychopathische,psychopathische
ANTISOCIAL PERSONALITY,psychopathische persönlichkeit,persönlichkeit,psychopathische,psychopathische
ANTISOCIAL PERSONALITY,soziopath,soziopath,,
ANTISOCIAL PERSONALITY,soziopathische persoenlichkeit,persoenlichkeit,soziopathische,soziopathische
ANTISOCIAL PERSONALITY,soziopathische persönlichkeit,persönlichkeit,soziopathische,soziopathische
INJURY TO NERVE NEC,verletzung sonstiger spezifischer nerven,verletzung nerven,sonstiger spezifischer,sonstiger spezifischer
BULLOUS DERMATOSES NOS,blasige erkrankung,erkrankung,blasige,
BULLOUS DERMATOSES NOS,bulloese dermatitis,bulloese dermatitis,,
BULLOUS DERMATOSES NOS,bulloese dermatose,bulloese dermatose,,
BULLOUS DERMATOSES NOS,bulloese dermatose nicht naeher bezeichnet,bulloese dermatose,nicht naeher bezeichnet,
BULLOUS DERMATOSES NOS,bullöse hautkrankheiten,hautkrankheiten,bullöse,bullöse
BULLOUS DERMATOSES NOS,dermatitis bulloes,dermatitis bulloes,,
BULLOUS DERMATOSES NOS,dermatose bulloes,dermatose bulloes,,
BULLOUS DERMATOSES NOS,hautkrankheiten bullöse,hautkrankheiten bullöse,,
BULLOUS DERMATOSES NOS,unspezische bulloese dermatosen,bulloese,unspezische dermatosen,unspezische
DISTORTION OF SHAPE/SIZE,visuelle verzerrungen von form und groesse,verzerrungen form groesse,visuelle von und,
Stridor,stridor,stridor,,
LOWER EXTREMITY ANEURYSM,aneurysma einer arterie der unteren extremitaet,aneurysma arterie extremitaet,einer der unteren,unteren
LOWER EXTREMITY ANEURYSM,aneurysma einer arterie der unteren extremitaeten,aneurysma arterie,einer der unteren extremitaeten,unteren extremitaeten
OPIOID/OTHER DEP-CONTIN,kombinationen von opioiden mit abhaengkt von beliebig sonstig drogen kontinuierlich verwendung,kombinationen opioiden abhaengkt verwendung,von mit von beliebig sonstig drogen kontinuierlich,
RECTAL & ANAL DIS NEC,sonstige naeher bezeichnete krankheiten des anus und des rektums,bezeichnete krankheiten anus rektums,sonstige naeher des und des,sonstige
RECTAL & ANAL DIS NEC,sonstige spezifische erkrankung von rektum und anus,erkrankung rektum anus,sonstige spezifische von und,sonstige
RECTAL & ANAL DIS NEC,sonstige spezifische erkrankungen von rektum und anus,erkrankungen rektum anus,sonstige spezifische von und,sonstige
"LEUKOCYTOPENIA, UNSPECIFIED ",leukopenie,leukopenie,,
"LEUKOCYTOPENIA, UNSPECIFIED ",leukopenie nnb,leukopenie,nnb,
"LEUKOCYTOPENIA, UNSPECIFIED ",leukozytopenie,leukozytopenie,,
DISRUPT C-SECT-POSTPART,dehiszenz einer kaiserschnittwunde postpartal,dehiszenz kaiserschnittwunde,einer postpartal,
TRIGGER FINGER,schnellender finger erworben,,schnellender finger erworben,
Frotteurism,frotteurismus,frotteurismus,,
"Myositis, unspecified",entzündliche myopathie,myopathie,entzündliche,entzündliche
"Myositis, unspecified",muskelentzuendung,muskelentzuendung,,
"Myositis, unspecified",muskelentzündung,muskelentzündung,,
"Myositis, unspecified",myositis,myositis,,
"Myositis, unspecified",myositis nicht naeher bezeichnet,myositis,nicht naeher bezeichnet,
BLADDER DISORDER NOS,blasenerkrankungen,,blasenerkrankungen,
BLADDER DISORDER NOS,blasenkrankheiten,,blasenkrankheiten,
BLADDER DISORDER NOS,blasenstoerung nnb,blasenstoerung,nnb,
BLADDER DISORDER NOS,harnblasenerkrankung,harnblasenerkrankung,,
BLADDER DISORDER NOS,harnblasenerkrankungen,,harnblasenerkrankungen,
BLADDER DISORDER NOS,harnblasenkrankheiten,,harnblasenkrankheiten,
BLADDER DISORDER NOS,krankheit der harnblase nicht naeher bezeichnet,krankheit harnblase,der nicht naeher bezeichnet,
BLADDER DISORDER NOS,nicht spezifizierte stoerung der blase,stoerung blase,nicht spezifizierte der,
ANTEPART HEM NOS-ANTEPAR,antepartale blutung,blutung,antepartale,
ANTEPART HEM NOS-ANTEPAR,antepartum blutung,antepartum blutung,,
ANTEPART HEM NOS-ANTEPAR,blutverlust waehrend schwangerschaft,blutverlust,waehrend schwangerschaft,
ANTEPART HEM NOS-ANTEPAR,nicht spezifizierte antepartale blutung,blutung,nicht spezifizierte antepartale,spezifizierte
ANTEPART HEM NOS-ANTEPAR,nicht spezifizierte antepartale blutung antepartal,blutung,nicht spezifizierte antepartale antepartal,spezifizierte
ANTEPART HEM NOS-ANTEPAR,praepartale blutung nicht naeher bezeichnet,blutung,praepartale nicht naeher bezeichnet,
ANTEPART HEM NOS-ANTEPAR,vorgeburtliche blutung,blutung,vorgeburtliche,vorgeburtliche
PARINFLUENZA VIRAL PNEUM,pneumonie durch para influenza virus,pneumonie influenza virus,durch para,
PARINFLUENZA VIRAL PNEUM,pneumonie durch para influenza virus,pneumonie influenza virus,durch para,
PARINFLUENZA VIRAL PNEUM,pneumonie durch parainfluenzaviren,pneumonie,durch parainfluenzaviren,
Calculus of gallbladder w chronic cholecyst w/o obstruction,cholezystitis und cholelithiasis,cholezystitis cholelithiasis,und,
Calculus of gallbladder w chronic cholecyst w/o obstruction,cholezystitis cholelithiasis,cholezystitis cholelithiasis,,
BLEPHAROSPASM,augenlidzuckungen,,augenlidzuckungen,
BLEPHAROSPASM,blepharospasmus,blepharospasmus,,
BLEPHAROSPASM,lidkrampf,lidkrampf,,
BLEPHAROSPASM,spasmus augenlid,spasmus augenlid,,
"Arteriovenous fistula, acquired",arteriovenoese fistel erworben,arteriovenoese fistel,erworben,
"Arteriovenous fistula, acquired",haemangiom arteriell,haemangiom,arteriell,
"Pregnant state, incidental",gravidität,gravidität,,
"Pregnant state, incidental",schwangerschaft,schwangerschaft,,
"Pregnant state, incidental",schwangerschaft nnb,schwangerschaft,nnb,
"Pregnant state, incidental",schwangerschaftsfeststellung als nebenbefund,schwangerschaftsfeststellung nebenbefund,als,
Presence of (intrauterine) contraceptive device,vorhandensein eines pessars intrauterin zur kontrazeption,vorhandensein pessars intrauterin kontrazeption,eines zur,
NONRUPT CEREBRAL ANEURYM,aneurysma zerebral ohne ruptur,aneurysma ruptur,zerebral ohne,
NONRUPT CEREBRAL ANEURYM,zerebrales aneurysma ohne ruptur,aneurysma ruptur,zerebrales ohne,
NONRUPT CEREBRAL ANEURYM,zerebrales aneurysma nichtrupturiert,aneurysma,zerebrales nichtrupturiert,
NONRUPT CEREBRAL ANEURYM,zerebrales aneurysma ohne ruptur,aneurysma ruptur,zerebrales ohne,
"FX MULT PHALAN, HAND-OPN",offene fraktur mehrerer stellen an den fingergliedern,fraktur stellen fingergliedern,offene mehrerer an den,offene
ACNE NEC,sonstige akne,akne,sonstige,sonstige
Ulcer of esophagus without bleeding,oesophagusulkus,oesophagusulkus,,
Ulcer of esophagus without bleeding,oesophagusulzeration,oesophagusulzeration,,
Ulcer of esophagus without bleeding,ulkus der speiseroehre,ulkus speiseroehre,der,
"REG ENTERITIS, SM INTEST",crohn krankheit des duenndarmes,crohn krankheit duenndarmes,des,
"REG ENTERITIS, SM INTEST",enteritis regionalis des duenndarms,enteritis regionalis duenndarms,des,
ANAPHYLACTIC REACTION DUE TO TREE NUTS AND SEEDS,anaphylaktischer schock verursacht durch baumnuesse und samen,schock baumnuesse samen,anaphylaktischer verursacht durch und,
Abnormal findings on dx imaging of heart and cor circ,abnorme befunde bei der bildgebenden diagnostik des herzens und des koronarkreislaufes,befunde diagnostik herzens koronarkreislaufes,abnorme bei der bildgebenden des und des,
Abnormal findings on dx imaging of heart and cor circ,echokardiogramm anomal,echokardiogramm,anomal,
Abnormal findings on dx imaging of heart and cor circ,echokardiogramm anomal nnb,echokardiogramm,anomal nnb,
Abnormal findings on dx imaging of heart and cor circ,echokardiographie anomal,echokardiographie,anomal,
Acute lymphadenitis of trunk,akute lymphadenitis am rumpf,lymphadenitis rumpf,akute am,akute
FROSTBITE OF HAND,erfrierung an der hand,erfrierung hand,an der,
FROSTBITE OF HAND,erfrierung der hand,erfrierung hand,der,
Other diseases of tongue,atrophie der zungenmuskeln,atrophie zungenmuskeln,der,
Other diseases of tongue,glossoptose,,glossoptose,glossoptose
Other diseases of tongue,glossoptosis,glossoptosis,,
Other diseases of tongue,makroglossie,makroglossie,,
Other diseases of tongue,sonstige krankheiten der zunge,krankheiten zunge,sonstige der,
Other diseases of tongue,zackige zungenraender,zungenraender,zackige,zackige
Other diseases of tongue,zahnabdruck am zungenrand,zahnabdruck zungenrand,am,
"TORSION OF TESTIS, UNSPECIFIED ",hodentorsion,hodentorsion,,
"TORSION OF TESTIS, UNSPECIFIED ",samenstrangtorsion,samenstrangtorsion,,
"TORSION OF TESTIS, UNSPECIFIED ",torsion des funiculus spermaticus,torsion spermaticus,des funiculus,
"TORSION OF TESTIS, UNSPECIFIED ",torsion des hodens,torsion hodens,des,
"TORSION OF TESTIS, UNSPECIFIED ",torsion des samenstrangs,torsion samenstrangs,des,
"TORSION OF TESTIS, UNSPECIFIED ",torsion hoden,torsion,hoden,
DYSFUNCT EUSTACHIAN TUBE,erkrankung der tuba eustachii,erkrankung tuba,der eustachii,
DYSFUNCT EUSTACHIAN TUBE,erkrankung der tuba eustachii nnb,erkrankung tuba eustachii nnb,der,
DYSFUNCT EUSTACHIAN TUBE,erkrankungen der tuba eustachii,erkrankungen tuba,der eustachii,
DYSFUNCT EUSTACHIAN TUBE,funktionsstoerung der tuba eustachii,funktionsstoerung tuba,der eustachii,
DYSFUNCT EUSTACHIAN TUBE,krankheit der tuba auditiva nicht naeher bezeichnet,krankheit tuba auditiva,der nicht naeher bezeichnet,
DYSFUNCT EUSTACHIAN TUBE,nicht naeher bezeichnete erkrankung der eustachischen tube,erkrankung tube,nicht naeher bezeichnete der eustachischen,eustachischen
DYSFUNCT EUSTACHIAN TUBE,tuba eustachii erkrankung nicht spezifiziert,tuba erkrankung,eustachii nicht spezifiziert,
HUNTINGTON'S CHOREA,chorea hereditiva,hereditiva,chorea,
HUNTINGTON'S CHOREA,chorea huntington,chorea huntington,,
HUNTINGTON'S CHOREA,chorea progressiva hereditaria,chorea progressiva hereditaria,,
HUNTINGTON'S CHOREA,huntington krankheit,huntington krankheit,,
Huntington's disease,chorea hereditiva,hereditiva,chorea,
Huntington's disease,chorea huntington,chorea huntington,,
Huntington's disease,chorea progressiva hereditaria,chorea progressiva hereditaria,,
Huntington's disease,demenz bei chorea huntington,demenz chorea huntington,bei,
Huntington's disease,huntington krankheit,huntington krankheit,,
ARTERITIS NOS,arterienentzündung,arterienentzündung,,
ARTERITIS NOS,arteriitis,arteriitis,,
ARTERITIS NOS,arteriitis nnb,arteriitis,nnb,
ARTERITIS NOS,arteriitis nicht naeher bezeichnet,arteriitis,nicht naeher bezeichnet,
ARTERITIS NOS,arteriitis nicht spezifiziert,arteriitis,nicht spezifiziert,
ARTERITIS NOS,entzuendliche arterielle reaktion,reaktion,entzuendliche arterielle,entzuendliche
ARTERITIS NOS,entzuendliche arterienreaktion,arterienreaktion,entzuendliche,entzuendliche
INJURY ULNAR VESSELS,verletzung von blutgefaessen der ulna,verletzung blutgefaessen ulna,von der,
INJURY MEDIAN NERVE,verletzung des medianus,verletzung medianus,des,
INJURY MEDIAN NERVE,verletzung des nervus medianus,verletzung nervus medianus,des,
FRACTURE FOUR RIBS-CLOSE,geschlossene fraktur von vier rippen,fraktur rippen,geschlossene von vier,geschlossene
UTERINE PROLAPSE,uterusprolaps ohne erwaehnung eines scheidenwandprolapses,uterusprolaps erwaehnung scheidenwandprolapses,ohne eines,
CYANOSIS,blaugefaerbt,,blaugefaerbt,
CYANOSIS,zyanose,zyanose,,
CYANOSIS,zyanose nnb,zyanose,nnb,
SPINA BIFIDA,spina bifida ohne erwaehnung eines hydrozephalus,spina bifida erwaehnung hydrozephalus,ohne eines,
SPINA BIFIDA,spina bifida ohne erwaehnung eines hydrozephalus nicht spezifizierter bereich,spina bifida erwaehnung hydrozephalus bereich,ohne eines nicht spezifizierter,
Restless legs syndrome,beine unruhig,beine,unruhig,
Restless legs syndrome,ekbom syndrom,ekbom syndrom,,
Restless legs syndrome,restless legs,legs,restless,
Restless legs syndrome,restless legs syndrom,legs syndrom,restless,
Restless legs syndrome,syndrom der ruhelosen beine,syndrom ruhelosen beine,der,
Restless legs syndrome,syndrom der unruhigen beine,syndrom beine,der unruhigen,
Restless legs syndrome,unruhige beine,beine,unruhige,unruhige
Restless legs syndrome,willis ekbom krankheit,willis ekbom krankheit,,
Restless legs syndrome,wittmaack ekbom syndrom,wittmaack ekbom syndrom,,
LEGAL BLINDNESS-USA DEF,gesetzliche blindheit nach definition der usa,blindheit definition usa,gesetzliche nach der,gesetzliche
"FX HUMER, LAT CONDYL-CL",fraktur des seitlichen kondyls des humerus geschlossen,fraktur kondyls humerus,des seitlichen des geschlossen,seitlichen
PULMONARY COLLAPSE,atelectasis,atelectasis,,
PULMONARY COLLAPSE,atelektase,atelektase,,
PULMONARY COLLAPSE,lappenkollaps,,lappenkollaps,
