ATC-Bedeutung,ATC-Bedeutung_cleaned
Kaliumpolysulfid,kaliumpolysulfid
Kaliumsalicylat,kaliumsalicylat
Kaliumsulfid,kaliumsulfid
Kallidinogenase,kallidinogenase
Kältepackungen (Kompressen),kaeltepackungen kompressen
Kamillenblüten,kamillenblueten
Kamillenblütenextrakt,kamillenbluetenextrakt
Kanamycin,kanamycin
Kaolin,kaolin
kardiales Fettsäure-Bindungsprotein (h-FABP),kardiales fettsaeure bindungsprotein fabp
Kardioplege Lösungen,kardioplege loesungen
Karottenextrakt,karottenextrakt
"Katheter, Kombinationen",katheter
Kationenaustauscherharze,kationenaustauscherharze
Kavain,kavain
Kava-Kava-Wurzelstock,kava kava wurzelstock
Kebuzon,kebuzon
Kebuzon und Corticosteroide,kebuzon corticosteroide
Ketamin,ketamin
Ketanserin,ketanserin
Ketazolam,ketazolam
Ketobemidon,ketobemidon
Ketobemidon mit Spasmolytika,ketobemidon spasmolytika
Ketoconazol,ketoconazol
"Keton-Testzone, Blut",keton testzone blut
"Keton-Testzone, Urin",keton testzone urin
Ketoprofen,ketoprofen
Ketorolac,ketorolac
Ketotifen,ketotifen
Keuschlammfrüchte**,keuschlammfruechte
Kiefernnadelöl,kiefernnadeloel
Kieselerde,kieselerde
Kieselsäure,kieselsaeure
Knoblauchzwiebel,knoblauchzwiebel
Kohlendioxid,kohlendioxid
Kohlendioxid freisetzende Mittel,kohlendioxid freisetzende mittel
Kohlenhydrate,kohlenhydrate
"Kohlenhydrate/Proteine/Mineralstoffe/Vitamine, Kombinationen",kohlenhydrate proteine mineralstoffe vitamine
Kohlenmonoxid,kohlenmonoxid
Kokain-Testzone,kokain testzone
Kollagen,kollagen
Kollagenase,kollagenase
Kollagenase aus Clostridium histolyticum,kollagenase clostridium histolyticum
Koloquinthen,koloquinthen
Kombinationen,
Kombinationen mit anderen Mitteln,mitteln
Kombinationen mittelstark wirksamer Corticosteroide,mittelstark wirksamer corticosteroide
Kombinationen von Antibiotika,antibiotika
Kombinationen von Barbituraten,barbituraten
Kombinationen von Elektrolyten,elektrolyten
Kombinationen von II-und III-wertigem Eisen,ii iii wertigem eisen
Kombinationen von Imidazol-Derivaten,imidazol derivaten
Kombinationen von Levothyroxin und Liothyronin,levothyroxin liothyronin
Kombinationen von Penicillinen,penicillinen
Kombinationen von Rauwolfia-Alkaloiden,rauwolfia alkaloiden
"Kombinationen von Rauwolfia-Alkaloiden und Diuretika 
inkl. andere Kombinationen",rauwolfia alkaloiden diuretika inkl
Kombinationen von Sulfonamiden,sulfonamiden
Kombinationen von Tetracyclinen,tetracyclinen
Kombinationen von Xanthinen,xanthinen
Konjugierte Estrogene,konjugierte estrogene
Konjugierte Estrogene und Bazedoxifen,konjugierte estrogene bazedoxifen
Kontaktlaxanzien in Kombination,kontaktlaxanzien kombination
Kontaktlaxanzien in Kombination mit Belladonna-Alkaloiden,kontaktlaxanzien kombination belladonna alkaloiden
Kontroll-Lösungen,kontroll loesungen
Kreatin-Kinase-Testzone,kreatin kinase testzone
Kreosot,kreosot
(81mKr)Kryptongas,mkr kryptongas
Kuhpocken-Immunglobulin,kuhpocken immunglobulin
Künstliche Tränen und andere indifferente Mittel,kuenstliche traenen indifferente mittel
Kupferoleat,kupferoleat
Kupfersulfat,kupfersulfat
Kupfer(64Cu)dotatat,kupfer cu dotatat
Kupferusnat,kupferusnat
Kürbissamen,kuerbissamen
Labetalol,labetalol
Labetalol und andere Diuretika,labetalol diuretika
Labetalol und Thiazide,labetalol thiazide
Lacidipin,lacidipin
Lacosamid,lacosamid
Lactat-Testzone,lactat testzone
Lactitol,lactitol
Lactobacillus,lactobacillus
Lactobacillus acidophilus,lactobacillus acidophilus
"Lactobacillus Stämme, Kombinationen",lactobacillus staemme
Lactulose,lactulose
"Laevulose, Kombinationen",laevulose
Lafutidin,lafutidin
Lamivudin,lamivudin
"Lamivudin, Abacavir und Dolutegravir",lamivudin abacavir dolutegravir
"Lamivudin, Tenofovirdisoproxil und Dolutegravir",lamivudin tenofovirdisoproxil dolutegravir
"Lamivudin, Tenofovirdisoproxil und Doravirin",lamivudin tenofovirdisoproxil doravirin
"Lamivudin, Tenofovirdisoproxil und Efavirenz",lamivudin tenofovirdisoproxil efavirenz
Lamivudin und Abacavir,lamivudin abacavir
Lamivudin und Dolutegravir,lamivudin dolutegravir
Lamivudin und Raltegravir,lamivudin raltegravir
Lamivudin und Tenofovirdisoproxil,lamivudin tenofovirdisoproxil
Lamotrigin,lamotrigin
Lanadelumab,lanadelumab
Lanatosid C,lanatosid
Landiolol,landiolol
Laninamivir,laninamivir
Lanoconazol,lanoconazol
Lanreotid,lanreotid
Lansoprazol,lansoprazol
"Lansoprazol, Amoxicillin und Clarithromycin",lansoprazol amoxicillin clarithromycin
"Lansoprazol, Amoxicillin und Levofloxacin",lansoprazol amoxicillin levofloxacin
"Lansoprazol, Amoxicillin und Metronidazol",lansoprazol amoxicillin metronidazol
"Lansoprazol, Clarithromycin und Tinidazol",lansoprazol clarithromycin tinidazol
"Lansoprazol, Tetracyclin und Metronidazol",lansoprazol tetracyclin metronidazol
Lanthan(III)-carbonat,lanthan iii carbonat
Lapatinib,lapatinib
Laquinimod,laquinimod
Laronidase,laronidase
Larotrectinib,larotrectinib
Lascufloxacin,lascufloxacin
Lasmiditan,lasmiditan
Lasofoxifen,lasofoxifen
Latamoxef,latamoxef
Latanoprost,latanoprost
Latanoprost und Dorzolamid,latanoprost dorzolamid
Latanoprost und Netarsudil,latanoprost netarsudil
Latanoprostenbunod,latanoprostenbunod
Lavendelöl**,lavendeloel
Lazertinib,lazertinib
Lebertran,lebertran
Lebrikizumab,lebrikizumab
Lecanemab,lecanemab
Lefamulin,lefamulin
Leflunomid,leflunomid
Leinsamen,leinsamen
Lemborexant,lemborexant
Lenacapavir,lenacapavir
Lenalidomid,lenalidomid
Leniolisib,leniolisib
Lenograstim,lenograstim
Lentinan,lentinan
Lenvatinib,lenvatinib
Lepirudin,lepirudin
Leptospirose-Impfstoffe,leptospirose impfstoffe
Lercanidipin,lercanidipin
Leriglitazon,leriglitazon
Lesinurad,lesinurad
Lespedezakraut,lespedezakraut
Letermovir,letermovir
Letostein,letostein
Letrozol,letrozol
"Leucin, Kombinationen",leucin
Leukozyten,leukozyten
Leukozyten ohne Pharmazentralnummer,leukozyten pharmazentralnummer
Leukozyten-Testzone,leukozyten testzone
Leuprorelin,leuprorelin
Leuprorelin und Bicalutamid,leuprorelin bicalutamid
Levacetylmethadol,levacetylmethadol
Levamisol,levamisol
Levamlodipin,levamlodipin
Levetiracetam,levetiracetam
Levilimab,levilimab
Levisticum officinale,levisticum officinale
Levobunolol,levobunolol
Levobupivacain,levobupivacain
Levocabastin,levocabastin
Levocarnitin,levocarnitin
Levocetirizin,levocetirizin
Levodopa,levodopa
"Levodopa, Decarboxylasehemmer und COMT-Hemmer",levodopa decarboxylasehemmer comt hemmer
Levodopa in Kombination mit Benserazid,levodopa kombination benserazid
Levodopa in Kombination mit Carbidopa,levodopa kombination carbidopa
Levodopa in Kombination mit Carbidopa und Entacapon,levodopa kombination carbidopa entacapon
Levodopa in Kombination mit Carbidopa und Pramipexol,levodopa kombination carbidopa pramipexol
Levodropropizin,levodropropizin
Levofloxacin,levofloxacin
Levofloxacin und Ornidazol,levofloxacin ornidazol
Levoketoconazol,levoketoconazol
Levomepromazin,levomepromazin
Levomethadon,levomethadon
Levomethadon-Zubereitungen,levomethadon zubereitungen
Levomilnacipran,levomilnacipran
Levonadifloxacin,levonadifloxacin
Levonorgestrel,levonorgestrel
Levonorgestrel und Estrogen,levonorgestrel estrogen
Levonorgestrel und Ethinylestradiol,levonorgestrel ethinylestradiol
Levosimendan,levosimendan
Levosulpirid,levosulpirid
Levothyroxin,levothyroxin
Levothyroxin-Natrium,levothyroxin natrium
Levothyroxin-Natrium und Iod-Verbindungen,levothyroxin natrium iod
Levoverbenon,levoverbenon
Lidocain,lidocain
Lidoflazin,lidoflazin
Lieferengpass,lieferengpass
Lifileucel,lifileucel
Lifitegrast,lifitegrast
Limaprost,limaprost
"Limbale Stammzellen, autolog",limbale stammzellen autolog
Linaclotid,linaclotid
Linagliptin,linagliptin
Linagliptin und Empagliflozin,linagliptin empagliflozin
Lincomycin,lincomycin
Lindan,lindan
Lindenblüten,lindenblueten
Linezolid,linezolid
Linolsäure,linolsaeure
Linopirdin,linopirdin
Linsidomin,linsidomin
Linzagolix,linzagolix
Liothyronin-Natrium,liothyronin natrium
Lipegfilgrastim,lipegfilgrastim
Liraglutid,liraglutid
Liranaftat,liranaftat
Lisdexamfetamin,lisdexamfetamin
Lisinopril,lisinopril
Lisinopril und Amlodipin,lisinopril amlodipin
Lisinopril und Diuretika,lisinopril diuretika
Lisinopril und Hydrochlorothiazid,lisinopril hydrochlorothiazid
Lisocabtagen maraleucel,lisocabtagen maraleucel
Lisurid,lisurid
Lithium,lithium
Lithiumchlorid,lithiumchlorid
Lithiumsuccinat,lithiumsuccinat
Lixisenatid,lixisenatid
L-Methionin,methionin
Lobeglitazon,lobeglitazon
Lodoxamid,lodoxamid
Lofepramin,lofepramin
Lofexidin,lofexidin
Lomefloxacin,lomefloxacin
Lomitapid,lomitapid
Lomustin,lomustin
Lonafarnib,lonafarnib
Lonapegsomatropin,lonapegsomatropin
Lonazolac,lonazolac
Loncastuximab tesirin,loncastuximab tesirin
Lonidamin,lonidamin
Lonoctocog alfa,lonoctocog alfa
Loperamid,loperamid
Loperamidoxid,loperamidoxid
Lopinavir und Ritonavir,lopinavir ritonavir
Loprazolam,loprazolam
Loracarbef,loracarbef
Lorajmin,lorajmin
Loratadin,loratadin
Lorazepam,lorazepam
Lorcainid,lorcainid
Lorcaserin,lorcaserin
Lorlatinib,lorlatinib
Lormetazepam,lormetazepam
Lornoxicam,lornoxicam
Losartan,losartan
Losartan und Amlodipin,losartan amlodipin
Losartan und Diuretika,losartan diuretika
Losartan und Hydrochlorothiazid,losartan hydrochlorothiazid
Loteprednol,loteprednol
Loteprednol und Antiinfektiva,loteprednol antiinfektiva
Lotilaner,lotilaner
Lovastatin,lovastatin
Lovastatin und Nicotinsäure,lovastatin nicotinsaeure
Löwenzahnwurzel mit -kraut,loewenzahnwurzel kraut
Loxapin,loxapin
Loxoprofen,loxoprofen
Lubiproston,lubiproston
Luffa operculata,luffa operculata
Luliconazol,luliconazol
Lumasiran,lumasiran
Lumateperon,lumateperon
Lumiracoxib,lumiracoxib
Lurasidon,lurasidon
Lurbinectedin,lurbinectedin
Luseogliflozin,luseogliflozin
Luspatercept,luspatercept
Lusutrombopag,lusutrombopag
(177Lu)Lutetiumoxodotreotid,lu lutetiumoxodotreotid
(177Lu)Lutetiumvipivotidtetraxetan,lu lutetiumvipivotidtetraxetan
Lutropin alfa,lutropin alfa
Lutropin alfa und Follitropin alfa,lutropin alfa follitropin alfa
Lutropin-Testzone,lutropin testzone
Lymecyclin,lymecyclin
Lynestrenol,lynestrenol
Lynestrenol und Estrogen,lynestrenol estrogen
Lynestrenol und Ethinylestradiol,lynestrenol ethinylestradiol
Lypressin,lypressin
Lysin,lysin
Lysin-Acetylsalicylat,lysin acetylsalicylat
Lysozym,lysozym
MAB.B72.3,mab
Macimorelin,macimorelin
Macitentan,macitentan
Macitentan und Tadalafil,macitentan tadalafil
Macrogol,macrogol
Madar,madar
Mafenid,mafenid
Magaldrat,magaldrat
Magaldrat und Karminativa,magaldrat karminativa
Magnesium (verschiedene Salze in Kombination),magnesium verschiedene salze kombination
Magnesiumadipat,magnesiumadipat
Magnesiumascorbat,magnesiumascorbat
Magnesiumaspartat,magnesiumaspartat
Magnesiumaspartathydrobromid,magnesiumaspartathydrobromid
Magnesiumcarbonat,magnesiumcarbonat
Magnesiumchlorid,magnesiumchlorid
Magnesiumcitrat,magnesiumcitrat
Magnesiumgluconat,magnesiumgluconat
Magnesiumglutamathydrobromid,magnesiumglutamathydrobromid
Magnesium-haltige Zubereitungen,magnesium zubereitungen
Magnesiumhydrogenglutamat,magnesiumhydrogenglutamat
Magnesiumhydroxid,magnesiumhydroxid
Magnesiumlactat,magnesiumlactat
Magnesiumlevulinat,magnesiumlevulinat
Magnesiumorotat,magnesiumorotat
Magnesiumoxid,magnesiumoxid
Magnesiumperoxid,magnesiumperoxid
Magnesiumphosphat,magnesiumphosphat
Magnesiumpidolat,magnesiumpidolat
Magnesiumpyridoxal-5-phosphatglutamat,magnesiumpyridoxal phosphatglutamat
"Magnesiumsalicylat, Kombinationen exkl. Psycholeptika",magnesiumsalicylat psycholeptika
Magnesiumsilikat,magnesiumsilikat
Magnesiumsulfat,magnesiumsulfat
Maiglöckchenkraut,maigloeckchenkraut
Maiskeimöl,maiskeimoel
Malaria-Impfstoffe,malaria impfstoffe
Malathion,malathion
Mandelsäure,mandelsaeure
Mangafodipir,mangafodipir
Manidipin,manidipin
Mannitol,mannitol
Mannosulfan,mannosulfan
Maprotilin,maprotilin
Maralixibatchlorid,maralixibatchlorid
Maraviroc,maraviroc
Margetuximab,margetuximab
Maribavir,maribavir
Mariendistelfrüchte,mariendistelfruechte
"Masern, Kombinationen mit Mumps, lebend abgeschwächt",masern mumps lebend abgeschwaecht
"Masern, Kombinationen mit Mumps, Röteln und Varicella, 
lebend abgeschwächt",masern mumps roeteln varicella lebend abgeschwaecht
"Masern, Kombinationen mit Mumps und Röteln, 
lebend abgeschwächt",masern mumps roeteln lebend abgeschwaecht
"Masern, Kombinationen mit Röteln, lebend abgeschwächt",masern roeteln lebend abgeschwaecht
"Masern, lebend abgeschwächt",masern lebend abgeschwaecht
Masern-Immunglobulin,masern immunglobulin
Masitinib,masitinib
Masoprocol,masoprocol
Mäusedornwurzelstock,maeusedornwurzelstock
Mavacamten,mavacamten
Mazaticol,mazaticol
Mazindol,mazindol
Mazipredon,mazipredon
Mebendazol,mebendazol
Mebeverin,mebeverin
Mebhydrolin,mebhydrolin
Mebutamat,mebutamat
Mebutizid,mebutizid
Mebutizid und Kalium sparende Mittel,mebutizid kalium sparende mittel
Mecamylamin,mecamylamin
Mecasermin,mecasermin
Mecaserminrinfabat,mecaserminrinfabat
Mecillinam,mecillinam
Meclocyclin,meclocyclin
Meclofenaminsäure,meclofenaminsaeure
Meclofenoxat,meclofenoxat
Meclozin,meclozin
Mecobalamin,mecobalamin
Medazepam,medazepam
Medifoxamin,medifoxamin
Medizinische Kohle,medizinische kohle
Medizinische Luft,medizinische luft
Medrogeston,medrogeston
Medrogeston und Estrogen,medrogeston estrogen
Medroxyprogesteron,medroxyprogesteron
Medroxyprogesteron und Estradiol,medroxyprogesteron estradiol
Medroxyprogesteron und Estrogen,medroxyprogesteron estrogen
Medroxyprogesteron und Ethinylestradiol,medroxyprogesteron ethinylestradiol
Medryson,medryson
Meerwasser,meerwasser
Meerzwiebel,meerzwiebel
Mefenaminsäure,mefenaminsaeure
Mefenorex,mefenorex
Mefloquin,mefloquin
Mefrusid,mefrusid
Mefrusid und Kalium,mefrusid kalium
Megestrol,megestrol
Megestrol und Estrogen,megestrol estrogen
Megestrol und Ethinylestradiol,megestrol ethinylestradiol
Megluminantimonat,megluminantimonat
Meglutol,meglutol
Meladrazin,meladrazin
Melagatran,melagatran
Melanom-Impfstoff,melanom impfstoff
Melarsoprol,melarsoprol
Melatonin,melatonin
Meldonium,meldonium
Melevodopa,melevodopa
Melevodopa und Decarboxylasehemmer,melevodopa decarboxylasehemmer
Melissenblätter,melissenblaetter
Melissenkraut,melissenkraut
Melitracen,melitracen
Melitracen und Psycholeptika,melitracen psycholeptika
Meloxicam,meloxicam
Melperon,melperon
Melphalan,melphalan
Melphalanflufenamid,melphalanflufenamid
Memantin,memantin
Menadiol,menadiol
Menadion,menadion
Menatetrenon,menatetrenon
"Meningokokken A, gereinigtes Polysaccharid-Antigen",meningokokken gereinigtes polysaccharid antigen
"Meningokokken A, gereinigtes Polysaccharid-Antigen, konjugiert",meningokokken gereinigtes polysaccharid antigen konjugiert
"Meningokokken pentavalent (A,B,C,Y,W-135), gereinigtes Polysaccharid-Antigen, konjugiert und Faktor-H-bindendes Protein",meningokokken pentavalent gereinigtes polysaccharid antigen konjugiert faktor bindendes protein
"Meningokokken B, äußere Vesikelmembran-Impfstoff",meningokokken aeussere vesikelmembran impfstoff
"Meningokokken B, Multikomponenten-Impfstoff",meningokokken multikomponenten impfstoff
"Meningokokken bivalent (A, C), gereinigtes Polysaccharid-Antigen",meningokokken bivalent gereinigtes polysaccharid antigen
"Meningokokken tetravalent (A, C, Y, W-135),
gereinigtes Polysaccharid-Antigen",meningokokken tetravalent gereinigtes polysaccharid antigen
"Meningokokken tetravalent (A, C, Y, W-135), 
gereinigtes Polysaccharid-Antigen, konjugiert",meningokokken tetravalent gereinigtes polysaccharid antigen konjugiert
Menthol,menthol
Mepacrin,mepacrin
Mepartricin,mepartricin
Mepenzolat,mepenzolat
Mephenesin,mephenesin
Mephenoxalon,mephenoxalon
Mephentermin,mephentermin
Mephenytoin,mephenytoin
Mepindolol,mepindolol
Mepindolol und Thiazide,mepindolol thiazide
Mepivacain,mepivacain
Mepixanox,mepixanox
Mepolizumab,mepolizumab
Meprednison,meprednison
Meprobamat,meprobamat
"Meprobamat, Kombinationen exkl. Psycholeptika",meprobamat psycholeptika
Meproscillarin,meproscillarin
Meprotixol,meprotixol
Meptazinol,meptazinol
Mepyramin,mepyramin
Mepyramintheophyllinacetat,mepyramintheophyllinacetat
Mequinol,mequinol
Mequitazin,mequitazin
Merbromin,merbromin
Mercaptamin,mercaptamin
Mercaptopurin,mercaptopurin
Meropenem,meropenem
Meropenem und Vaborbactam,meropenem vaborbactam
Mersalyl,mersalyl
Mesalazin,mesalazin
Mesna,mesna
Mesocarb,mesocarb
Mesoridazin,mesoridazin
Mesterolon,mesterolon
Mestranol,mestranol
Mesulfen,mesulfen
Mesuximid,mesuximid
Metabutethamin,metabutethamin
Metaclazepam,metaclazepam
Metacyclin,metacyclin
Metadoxin,metadoxin
Metahexamid,metahexamid
Metallisches Quecksilber,metallisches quecksilber
"Metamfepramon, Kombinationen",metamfepramon
Metamfetamin,metamfetamin
Metamfetamin-Testzone,metamfetamin testzone
"Metamizol, Kombinationen",metamizol
Metamizol und Corticosteroide,metamizol corticosteroide
Metamizol-Natrium,metamizol natrium
"Metamizol-Natrium, Kombinationen exkl. Psycholeptika",metamizol natrium psycholeptika
Metampicillin,metampicillin
Metandienon,metandienon
Metaraminol,metaraminol
Metenolon,metenolon
Metergolin,metergolin
Metformin,metformin
"Metformin, Linagliptin und Empagliflozin",metformin linagliptin empagliflozin
"Metformin, Saxagliptin und Dapagliflozin",metformin saxagliptin dapagliflozin
Metformin und Acarbose,metformin acarbose
Metformin und Alogliptin,metformin alogliptin
Metformin und Canagliflozin,metformin canagliflozin
Metformin und Dapagliflozin,metformin dapagliflozin
Metformin und Empagliflozin,metformin empagliflozin
Metformin und Ertugliflozin,metformin ertugliflozin
Metformin und Evogliptin,metformin evogliptin
Metformin und Gemigliptin,metformin gemigliptin
Metformin und Glibenclamid,metformin glibenclamid
Metformin und Linagliptin,metformin linagliptin
Metformin und Lobeglitazon,metformin lobeglitazon
Metformin und Pioglitazon,metformin pioglitazon
Metformin und Repaglinid,metformin repaglinid
Metformin und Rosiglitazon,metformin rosiglitazon
Metformin und Saxagliptin,metformin saxagliptin
Metformin und Sitagliptin,metformin sitagliptin
Metformin und Sulfonylharnstoffe,metformin sulfonylharnstoffe
Metformin und Teneligliptin,metformin teneligliptin
Metformin und Vildagliptin,metformin vildagliptin
Methacetin (13C),methacetin
Methacholin,methacholin
Methadon,methadon
"Methadon, Kombinationen exkl. Psycholeptika",methadon psycholeptika
Methadon-Testzone,methadon testzone
Methadon-Zubereitungen,methadon zubereitungen
"Methalkoniumchlorid, Kombinationen",methalkoniumchlorid
Methallenestril,methallenestril
Methanthelinium,methanthelinium
Methapyrilen,methapyrilen
Methaqualon,methaqualon
Metharbital,metharbital
Methazolamid,methazolamid
Methdilazin,methdilazin
Methenamin,methenamin
Methenamin-Silbernitrat,methenamin silbernitrat
Methiodal,methiodal
Methionin und N-Acetylmethionin,methionin acetylmethionin
Methiosulfoniumchlorid,methiosulfoniumchlorid
Methocarbamol,methocarbamol
"Methocarbamol, Kombinationen exkl. Psycholeptika",methocarbamol psycholeptika
Methohexital,methohexital
Methoserpidin,methoserpidin
Methoserpidin und Diuretika,methoserpidin diuretika
Methotrexat,methotrexat
Methoxamin,methoxamin
Methoxsalen,methoxsalen
Methoxyfluran,methoxyfluran
Methoxyphenamin,methoxyphenamin
Methoxy-Polyethylenglycol-Epoetin beta,methoxy polyethylenglycol epoetin beta
Methyclothiazid,methyclothiazid
Methylaminolevulinat,methylaminolevulinat
Methylatropin,methylatropin
Methylcellulose,methylcellulose
Methylclothiazid und Kalium,methylclothiazid kalium
Methyldopa (linksdrehend),methyldopa linksdrehend
Methyldopa (linksdrehend) und Diuretika,methyldopa linksdrehend diuretika
Methyldopa (racemisch),methyldopa racemisch
Methylendioxy-methamphetamin Testzone,methylendioxy methamphetamin testzone
"Methylephedrin, Kombinationen",methylephedrin
Methylergometrin,methylergometrin
Methylergometrin und Oxytocin,methylergometrin oxytocin
Methylestrenolon,methylestrenolon
Methylnaltrexonbromid,methylnaltrexonbromid
"Methylnicotinat, Kombinationen",methylnicotinat
Methylnortestosteron und Estrogen,methylnortestosteron estrogen
Methylpentynol,methylpentynol
Methylphenidat,methylphenidat
Methylphenobarbital,methylphenobarbital
Methylprednisolon,methylprednisolon
Methylprednisolon und Antibiotika,methylprednisolon antibiotika
Methylprednisolon und Antiinfektiva,methylprednisolon antiinfektiva
Methylprednisolonaceponat,methylprednisolonaceponat
Methylprednisolon-Depot,methylprednisolon depot
Methylpropylpropanedioldinitrat,methylpropylpropanedioldinitrat
Methylrosanilin,methylrosanilin
Methylsalicylat,methylsalicylat
Methylscopolamin,methylscopolamin
Methylscopolamin und Psycholeptika,methylscopolamin psycholeptika
Methyltestosteron,methyltestosteron
Methyltestosteron und Estrogen,methyltestosteron estrogen
Methylthioniniumchlorid,methylthioniniumchlorid
Methylthiouracil,methylthiouracil
Methyprylon,methyprylon
Methysergid,methysergid
Meticillin,meticillin
Meticran,meticran
Metildigoxin,metildigoxin
Metipranolol,metipranolol
Metipranolol und andere Antihypertensiva,metipranolol antihypertensiva
Metipranolol und Pilocarpin,metipranolol pilocarpin
Metipranolol und Thiazide,metipranolol thiazide
Metirosin,metirosin
Metisazon,metisazon
Metixen,metixen
Metizolin,metizolin
Metoclopramid,metoclopramid
Metoclopramid und Paracetamol,metoclopramid paracetamol
Metofenazat,metofenazat
Metolazon,metolazon
Metolazon und Kalium sparende Mittel,metolazon kalium sparende mittel
Metopimazin,metopimazin
Metoprolol,metoprolol
Metoprolol und Acetylsalicylsäure,metoprolol acetylsalicylsaeure
Metoprolol und Amlodipin,metoprolol amlodipin
Metoprolol und andere Diuretika,metoprolol diuretika
Metoprolol und Chlortalidon,metoprolol chlortalidon
Metoprolol und Felodipin,metoprolol felodipin
Metoprolol und Hydrochlorothiazid,metoprolol hydrochlorothiazid
Metoprolol und Ivabradin,metoprolol ivabradin
Metoprolol und Nifedipin,metoprolol nifedipin
Metoprolol und Thiazide,metoprolol thiazide
Metreleptin,metreleptin
Metrifonat,metrifonat
Metrizamid,metrizamid
Metrizoesäure,metrizoesaeure
Metronidazol,metronidazol
Metronidazol und Diloxanid,metronidazol diloxanid
Metronidazol und Furazolidon,metronidazol furazolidon
Metyrapon,metyrapon
Mexazolam,mexazolam
Mexiletin,mexiletin
Mezlocillin,mezlocillin
Mianserin,mianserin
Mibefradil,mibefradil
Micafungin,micafungin
Miconazol,miconazol
Micronomicin,micronomicin
Midazolam,midazolam
Midecamycin,midecamycin
Midodrin,midodrin
Midostaurin,midostaurin
Mifamurtid,mifamurtid
Mifepriston,mifepriston
Migalastat,migalastat
Miglitol,miglitol
Miglustat,miglustat
"Mikrobielle Antidiarrhoika, Kombinationen",mikrobielle antidiarrhoika
Mikroorganismen,mikroorganismen
"Milcheiweiß, Kombinationen",milcheiweiss
Milchsäure,milchsaeure
Milchsäurebildner,milchsaeurebildner
Milnacipran,milnacipran
Milrinon,milrinon
Miltefosin,miltefosin
Milzbrand-Antigen,milzbrand antigen
Milzextrakt,milzextrakt
Milzhydrolysat,milzhydrolysat
Minaprin,minaprin
Mineralöl,mineraloel
Mineralölraffinat,mineraloelraffinat
Mineralsalz,mineralsalz
Mineralsalze in Kombination,mineralsalze kombination
"Mineralsalze, Kombinationen",mineralsalze
Minocyclin,minocyclin
Minoxidil,minoxidil
Miocamycin,miocamycin
Mipomersen,mipomersen
Mirabegron,mirabegron
Mirikizumab,mirikizumab
Mirogabalin,mirogabalin
Mirtazapin,mirtazapin
Mirvetuximab soravtansin,mirvetuximab soravtansin
Misoprostol,misoprostol
Mistelkraut,mistelkraut
Mitapivat,mitapivat
Mitiglinid,mitiglinid
Mitobronitol,mitobronitol
Mitoguazon,mitoguazon
Mitomycin,mitomycin
Mitotan,mitotan
Mitoxantron,mitoxantron
Mivacuriumchlorid,mivacuriumchlorid
Mizolastin,mizolastin
Mobocertinib,mobocertinib
Moclobemid,moclobemid
Modafinil,modafinil
Moexipril,moexipril
Moexipril und Diuretika,moexipril diuretika
Moexipril und Hydrochlorothiazid,moexipril hydrochlorothiazid
Mofebutazon,mofebutazon
Mofebutazon und Corticosteroide,mofebutazon corticosteroide
Mogamulizumab,mogamulizumab
Mohnkapsel,mohnkapsel
Molgramostim,molgramostim
Molidustat,molidustat
Molindon,molindon
Molnupiravir,molnupiravir
Molsidomin,molsidomin
Momelotinib,momelotinib
Mometason,mometason
Monalazon,monalazon
Monobenzon,monobenzon
Monoethanolaminoleat,monoethanolaminoleat
"Monoethanolaminsalicylat, Kombinationen",monoethanolaminsalicylat
Mononucleose-Testzone,mononucleose testzone
Monoxerutin,monoxerutin
Montelukast,montelukast
Moor,moor
Moperon,moperon
Moracizin,moracizin
Morclofon,morclofon
Morinamid,morinamid
Morniflumat,morniflumat
Moroctocog alfa,moroctocog alfa
Moroxydin,moroxydin
Morphin,morphin
Morphin mit Spasmolytika,morphin spasmolytika
Morpholinsalicylat,morpholinsalicylat
Mosapramin,mosapramin
Mosaprid,mosaprid
Mosunetuzumab,mosunetuzumab
Motavizumab,motavizumab
Motretinid,motretinid
Moxaverin,moxaverin
Moxaverin und Psycholeptika,moxaverin psycholeptika
Moxestrol,moxestrol
Moxetumomab pasudotox,moxetumomab pasudotox
Moxidectin,moxidectin
Moxifloxacin,moxifloxacin
Moxisylyt,moxisylyt
Moxonidin,moxonidin
Moxonidin und Diuretika,moxonidin diuretika
Mucopolysaccharidpolyschwefelsäureester,mucopolysaccharidpolyschwefelsaeureester
Mucopolysaccharidschwefelsäureester,mucopolysaccharidschwefelsaeureester
"Multienzyme (Lipase, Protease etc.)",multienzyme lipase protease etc
Multienzyme und Säure-haltige Zubereitungen,multienzyme saeure zubereitungen
"Multivitamine, andere Kombinationen",multivitamine
"Multivitamine, rein",multivitamine rein
"Multivitamine und andere Mineralstoffe, inkl. Kombinationen",multivitamine mineralstoffe inkl
Multivitamine und Calcium,multivitamine calcium
Multivitamine und Eisen,multivitamine eisen
Multivitamine und Spurenelemente,multivitamine spurenelemente
"Mumps, lebend abgeschwächt",mumps lebend abgeschwaecht
Mumps-Immunglobulin,mumps immunglobulin
Mupirocin,mupirocin
Muromonab-CD3,muromonab cd
Mutterkorn-Alkaloide,mutterkorn alkaloide
Muzolimin,muzolimin
Mycobacterium phlei,mycobacterium phlei
Mycophenolsäure,mycophenolsaeure
Myoglobin-Testzone,myoglobin testzone
Myo-Inositol,myo inositol
Myristylbenzalkonium,myristylbenzalkonium
Myrrhentinktur,myrrhentinktur
